Title,Abstract
Metabolic engineering of volatile isoprenoids in plants and microbes,"The chemical properties and diversity of volatile isoprenoids lends them to a broad variety of biological roles. It also lends them to a host of biotechnological applications, both by taking advantage of their natural functions and by using them as industrial chemicals/chemical feedstocks. Natural functions include roles as insect attractants and repellents, abiotic stress protectants in pathogen defense, etc. Industrial applications include use as pharmaceuticals, flavours, fragrances, fuels, fuel additives, etc. Here we will examine the ways in which researchers have so far found to exploit volatile isoprenoids using biotechnology. Production and/or modification of volatiles using metabolic engineering in both plants and microorganisms are reviewed, including engineering through both mevalonate and methylerythritol diphosphate pathways. Recent advances are illustrated using several case studies (herbivores and bodyguards, isoprene, and monoterpene production in microbes). Systems and synthetic biology tools with particular utility for metabolic engineering are also reviewed. Finally, we discuss the practical realities of various applications in modern biotechnology, explore possible future applications, and examine the challenges of moving these technologies forward so that they can deliver tangible benefits. While this review focuses on volatile isoprenoids, many of the engineering approaches described here are also applicable to non-isoprenoid volatiles and to non-volatile isoprenoids."
The nonmevalonate pathway supports both monoterpene and sesquiterpene formation in snapdragon flowers,"Terpenoids, the largest class of plant secondary metabolites, play essential roles in both plant and human life. In higher plants, the five-carbon building blocks of all terpenoids, isopentenyl diphosphate (IPP) and dimethylallyl diphosphate, are derived from two independent pathways localized in different cellular compartments. The methylerythritol phosphate (MEP or nonmevalonate) pathway, localized in the plastids, is thought to provide IPP and dimethylallyl diphosphate for hemiterpene, monoterpene, and diterpene biosynthesis, whereas the cytosol-localized mevalonate pathway provides C5 units for sesquiterpene biosynthesis. Stable isotope-labeled, pathway-specific precursors (1-deoxy-[5,5-2H2]-D-xylulose and [2,2-2H2]-mevalolactone) were supplied to cut snapdragon flowers, which emit both monoterpenes and the sesquiterpene, nerolidol. We show that only one of the two pathways, the plastid-localized MEP pathway, is active in the formation of volatile terpenes. The MEP pathway provides IPP precursors for both plastidial monoterpene and cytosolic sesquiterpene biosynthesis in the epidermis of snapdragon petals. The trafficking of IPP occurs unidirectionally from the plastids to cytosol. The MEP pathway operates in a rhythmic manner controlled by the circadian clock, which determines the rhythmicity of terpenoid emission."
A unified mechanism of action for volatile isoprenoids in plant abiotic stress,"The sessile nature of plants has resulted in the evolution of an extraordinarily diverse suite of protective mechanisms against biotic and abiotic stresses. Though volatile isoprenoids are known to be involved in many types of biotic interactions, they also play important but relatively unappreciated roles in abiotic stress responses. We review those roles, discuss the proposed mechanistic explanations and examine the evolutionary significance of volatile isoprenoid emission. We note that abiotic stress responses generically involve production of reactive oxygen species in plant cells, and volatile isoprenoids mitigate the effects of oxidative stress by mediating the oxidative status of the plant. On the basis of these observations, we propose a 'single biochemical mechanism for multiple physiological stressors' model, whereby the protective effect against abiotic stress is exerted through direct or indirect improvement in resistance to damage by reactive oxygen species."
Redirection of cytosolic or plastidic isoprenoid precursors elevates terpene production in plants,"Terpenes constitute a distinct class of natural products1 that attract insects2, defend against phytopathogenic microbes3 and combat human diseases4. However, like most natural products, they are usually made by plants and microbes in small amounts and as complex mixtures. Chemical synthesis is often costly and inefficient, and may not yield enantiomerically pure terpenes, whereas large-scale microbial production requires expensive feedstocks. We engineered high-level terpene production in tobacco plants by diverting carbon flow from cytosolic or plastidic isopentenyl diphosphate through overexpression in either compartment of an avian farnesyl diphosphate synthase and an appropriate terpene synthase. Isotopic labeling studies suggest little, if any, metabolite exchange between these two subcellular compartments. The strategy increased synthesis of the sesquiterpenes patchoulol and amorpha-4,11-diene more than 1,000-fold, as well as the monoterpene limonene 10–30 fold, and seems equally suited to generating higher levels of other terpenes for research, industrial production or therapeutic applications"
Volatile isoprenoids and their importance for protection against environmental constraints in the Mediterranean area,"Among plant secondary metabolites, volatile isoprenoids have received increasing attention because they are involved in a range of physiological and ecological interactions, often helping plants cope with abiotic and biotic stressors, and potentially affecting the chemistry of the troposphere once they are emitted in the air. We review evidence about the beneficial functions of volatile isoprenoids in leaves, principally as antioxidants and membrane stabilizing agents, avoiding heat damage. Because the Mediterranean environment is characterized by prolonged dry and hot seasons, and recurrent heat-waves, we surmise that volatile isoprenoids are particularly widespread, and play an important physiological role, in Mediterranean woody plants. Based on a review of available inventories, isoprene emission characterizes deciduous woody plants, whereas evergreens are more often monoterpene emitters. Monoterpene emitters may be better fit to the Mediterranean climate, and, in general, to climate conditions favoring evergreens."
Genome organization in Arabidopsis thaliana: a survey for genes involved in isoprenoid and chlorophyll metabolism,"The isoprenoid biosynthetic pathway provides intermediates for the synthesis of a multitude of natural products which serve numerous biochemical functions in plants: sterols (isoprenoids with a C30 backbone) are essential components of membranes; carotenoids (C40) and chlorophylls (which contain a C20 isoprenoid side-chain) act as photosynthetic pigments; plastoquinone, phylloquinone and ubiquinone (all of which contain long isoprenoid side-chains) participate in electron transport chains; gibberellins (C20), brassinosteroids (C30) and abscisic acid (C15) are phytohormones derived from isoprenoid intermediates; prenylation of proteins (with C15 or C20 isoprenoid moieties) may mediate subcellular targeting and regulation of activity; and several monoterpenes (C10), sesquiterpenes (C15) and diterpenes (C20) have been demonstrated to be involved in plant defense. Here we present a comprehensive analysis of genes coding for enzymes involved in the metabolism of isoprenoid-derived compounds in Arabidopsis thaliana. By combining homology and sequence motif searches with knowledge regarding the phylogenetic distribution of pathways of isoprenoid metabolism across species, candidate genes for these pathways in A. thalianawere obtained. A detailed analysis of the vicinity of chromosome loci for genes of isoprenoid metabolism in A. thaliana provided evidence for the clustering of genes involved in common pathways. Multiple sequence alignments were used to estimate the number of genes in gene families and sequence relationship trees were utilized to classify their individual members. The integration of all these datasets allows the generation of a knowledge-based metabolic map of isoprenoid metabolic pathways in A. thaliana and provides a substantial improvement of the currently available gene annotation"
My way: noncanonical biosynthesis pathways for plant volatiles,"Plant volatiles are crucial for various interactions with other organisms and their surrounding environment. A large number of these volatiles belong to the terpenoid and benzenoid/phenylpropanoid classes, which have long been considered to be exclusively synthesized from a few canonical pathways. However, several alternative pathways producing these plant volatiles have been discovered recently. This review summarizes the current knowledge about new pathways for these two major groups of plant volatiles, which open new perspectives for applications in metabolic engineering"
"Plant volatile terpenoid metabolism: biosynthetic genes, transcriptional regulation and subcellular compartmentation",Volatile terpenoids released from different plant parts play crucial roles in pollinator attraction
Both methylerythritol phosphate and mevalonate pathways contribute to biosynthesis of each of the major isoprenoid classes in young cotton seedlings,"In higher plants, both the methylerythritol phosphate (MEP) and mevalonate (MVA) pathways contribute to the biosynthesis of isoprenoids. However, despite a significant amount of research on the activity of these pathways under different conditions, the relative contribution of each to the biosynthesis of diverse isoprenoids remains unclear. In this work, we examined the formation of several classes of isoprenoids in cotton (Gossypium hirsutum L.). After feeding [5,5-2H2]-1-deoxy-d-xylulose ([5,5-2H2]DOX) and [2-13C]MVA to intact cotton seedlings hydroponically, incorporation into isoprenoids was analyzed by MS and NMR. The predominant pattern of incorporation followed the classical scheme in which C5units from the MEP pathway were used to form monoterpenes (C10), phytol side chains (C20) and carotenoids (C40) while C5 units from the MVA pathway were used to form sesquiterpenes (C15), terpenoid aldehydes (C15 and C25) and steroids/triterpenoids (C30). However, both pathways contributed to all classes of terpenoids, sometimes substantially. For example, the MEP pathway provided up to 20% of the substrate for sterols and the MVA pathway provided as much as 50% of the substrate for phytol side chains and carotenoids. Incorporation of C5 units from the MEP pathway was highest in cotyledons, compared to true leaves, and not observed at all in the roots. Incorporation of C5 units from the MVA pathway was highest in the roots (into sterols) and more prominent in the first true leaves than in other above-ground organs. The relative accumulation of label in intermediates vs. end products of phytosterol metabolism confirmed previous identification of slow steps in this pathway."
"Biochemistry of terpenoids: monoterpenes, sesquiterpenes and diterpenes","Terpenoids represent the largest class of secondary metabolites and usually do not contain nitrogen or sulfur in their structures. Many terpenoids serve as defence compounds against microbes and herbivores and/or are signal molecules to attract pollinating insects, fruit-dispersing animals or predators which can destroy insect herbivores. As a consequence, many terpenoids have pronounced pharmacological activities and are therefore interesting for medicine and biotechnology. The first part of the biosynthesis is the generation of a C5 unit, such as isopentenyl diphosphate (IPP) or dimethylallyl diphosphate (DMAPP). Two independent pathways have been discovered that can produce the C5 unit: the mevalonate and the methylerythritol phosphate (MEP) pathway. Depending on the number of C5 units, we distinguish hemiterpenes C5, monoterpenes including iridoids (C10), sesquiterpenes (C15), diterpenes (C20), sesterterpenes (C25), triterpenes (including steroids) (C30), tetraterpenes (C40) and polyterpenes (>C40). The biosynthesis (including enzymes, genes and their regulation) of mevalonate and the methylerythritol phosphate pathway and the consecutive pathways leading to mono-, sesqui- and diterpenes are discussed in this chapter in detail."
