,Title,Abstract,lemma_text,DT_Labels
0,"‘Hidden’ Terpenoids in Plants: Their Biosynthesis, Localization and Ecological Roles","Terpenoids are the largest group of plant specialized (secondary) metabolites. These naturally occurring chemical compounds are highly diverse in chemical structure. Although there have been many excellent studies of terpenoids, most have focused on compounds built solely of isoprene units. Plants, however, also contain many ‘atypical’ terpenoids, such as glycosylated volatile terpenes and composite-type terpenoids, the latter of which are synthesized by the coupling of isoprene units on aromatic compounds. This mini review describes these ‘hidden’ terpenoids, providing an overview of their biosynthesis, localization, and biological and ecological activities.",terpenoids largest group plant specialized secondary metabolite these naturally occurring chemical compound highly diverse chemical structure although many excellent study terpenoids focused compound built solely isoprene unit plants however also contain many atypical terpenoids glycosylated volatile terpene composite type terpenoids latter synthesized coupling isoprene unit aromatic compound this mini review describes hidden terpenoids providing overview biosynthesis localization biological ecological activity,medium
1,A modern purification method for volatile sesquiterpenes produced by recombinant Escherichia coli carrying terpene synthase genes,"Most volatile sesquiterpenes had been purified from plants using distillation and preparative gas chromatography, which is not applicable to many laboratories that do not possess a needed facility. Thus, this review focuses on a modern purification method for volatile sesquiterpenes using Escherichia coli cells that functionally express terpene synthase (Tps) genes. It was recently developed that recombinant E. coli cells carrying Tps genes were cultured in two-layer media (n-octane/TB medium) without harming the cells, and the volatile hydrophobic compounds trapped in the n-octane were purified by two-phase partition (alkane/alkaline 50% MeOH), silica gel column chromatography, and reversed-phase preparative high-performance liquid chromatography (if necessary). Consequently, it was found that the volatile sesquiterpenes are easily purified, the structures of which can then be determined by nuclear magnetic resonance, [a]D and gas chromatography–mass spectrometry analyses. The antioxidant activities of several volatile sesquiterpenes are also presented in this review.",most volatile sesquiterpenes purified plant using distillation preparative gas chromatography applicable many laboratory posse needed facility thus review focus modern purification method volatile sesquiterpenes using escherichia coli cell functionally express terpene synthase tps gene it recently developed recombinant e coli cell carrying tps gene cultured two layer medium n octane tb medium without harming cell volatile hydrophobic compound trapped n octane purified two phase partition alkane alkaline meoh silica gel column chromatography reversed phase preparative high performance liquid chromatography necessary consequently found volatile sesquiterpenes easily purified structure determined nuclear magnetic resonance d gas chromatography mass spectrometry analysis the antioxidant activity several volatile sesquiterpenes also presented review,low
2,"A Novel Pathway for Sesquiterpene Biosynthesis from Z,Z-Farnesyl Pyrophosphate in the Wild Tomato Solanum habrochaites  ","In the wild tomato Solanum habrochaites, the Sst2 locus on chromosome 8 is responsible for the biosynthesis of several class II sesquiterpene olefins by glandular trichomes. Analysis of a trichome-specific EST collection from S. habrochaites revealed two candidate genes for the synthesis of Sst2-associated sesquiterpenes. zFPS encodes a protein with homology to Z-isoprenyl pyrophosphate synthases and SBS (for Santalene and Bergamotene Synthase) encodes a terpene synthase with homology to kaurene synthases. Both genes were found to cosegregate with the Sst2 locus. Recombinant zFPS protein catalyzed the synthesis of Z,Z-FPP from isopentenylpyrophosphate (IPP) and dimethylallylpyrophosphate (DMAPP), while coincubation of zFPS and SBS with the same substrates yielded a mixture of olefins identical to the Sst2-associated sesquiterpenes, including (+)-a-santalene, (+)-endo-ß-bergamotene, and (-)-endo-a-bergamotene. In addition, headspace analysis of tobacco (Nicotiana sylvestris) plants expressing zFPS and SBS in glandular trichomes afforded the same mix of sesquiterpenes. Each of these proteins contains a putative plastid targeting sequence that mediates transport of a fused green fluorescent protein to the chloroplasts, suggesting that the biosynthesis of these sesquiterpenes uses IPP and DMAPP from the plastidic DXP pathway. These results provide novel insights into sesquiterpene biosynthesis and have general implications concerning sesquiterpene engineering in plants.",in wild tomato solanum habrochaites sst locus chromosome responsible biosynthesis several class ii sesquiterpene olefin glandular trichomes analysis trichome specific est collection s habrochaites revealed two candidate gene synthesis sst associated sesquiterpenes zfps encodes protein homology z isoprenyl pyrophosphate synthases sbs santalene bergamotene synthase encodes terpene synthase homology kaurene synthases both gene found cosegregate sst locus recombinant zfps protein catalyzed synthesis z z fpp isopentenylpyrophosphate ipp dimethylallylpyrophosphate dmapp coincubation zfps sbs substrate yielded mixture olefin identical sst associated sesquiterpenes including santalene endo bergamotene endo bergamotene in addition headspace analysis tobacco nicotiana sylvestris plant expressing zfps sbs glandular trichomes afforded mix sesquiterpenes each protein contains putative plastid targeting sequence mediates transport fused green fluorescent protein chloroplast suggesting biosynthesis sesquiterpenes us ipp dmapp plastidic dxp pathway these result provide novel insight sesquiterpene biosynthesis general implication concerning sesquiterpene engineering plant,low
3,"A Promiscuous CYP706A3 Reduces Terpene Volatile Emission from Arabidopsis Flowers, Affecting Florivores and the Floral Microbiome","Flowers are essential but vulnerable plant organs, exposed to pollinators and florivores; however, flower chemical defenses are rarely investigated. We show here that two clustered terpene synthase and cytochrome P450 encoding genes (TPS11 and CYP706A3) on chromosome 5 of Arabidopsis (Arabidopsis thaliana) are tightly coexpressed in floral tissues, upon anthesis and during floral bud development. TPS11 was previously reported to generate a blend of sesquiterpenes. By heterologous coexpression of TPS11 and CYP706A3 in yeast (Saccharomyces cerevisiae) and Nicotiana benthamiana, we demonstrate that CYP706A3 is active on TPS11 products and also further oxidizes its own primary oxidation products. Analysis of headspace and soluble metabolites in cyp706a3 and 35S:CYP706A3 mutants indicate that CYP706A3-mediated metabolism largely suppresses sesquiterpene and most monoterpene emissions from opening flowers, and generates terpene oxides that are retained in floral tissues. In flower buds, the combined expression of TPS11 and CYP706A3 also suppresses volatile emissions and generates soluble sesquiterpene oxides. Florivory assays with the Brassicaceae specialist Plutella xylostella demonstrate that insect larvae avoid feeding on buds expressing CYP706A3 and accumulating terpene oxides. Composition of the floral microbiome appears also to be modulated by CYP706A3 expression. TPS11 and CYP706A3 simultaneously evolved within Brassicaceae and form the most versatile functional gene cluster described in higher plants so far.",flowers essential vulnerable plant organ exposed pollinator florivores however flower chemical defense rarely investigated we show two clustered terpene synthase cytochrome p encoding gene tps cyp a chromosome arabidopsis arabidopsis thaliana tightly coexpressed floral tissue upon anthesis floral bud development tps previously reported generate blend sesquiterpenes by heterologous coexpression tps cyp a yeast saccharomyces cerevisiae nicotiana benthamiana demonstrate cyp a active tps product also oxidizes primary oxidation product analysis headspace soluble metabolite cyp s cyp a mutant indicate cyp a mediated metabolism largely suppresses sesquiterpene monoterpene emission opening flower generates terpene oxide retained floral tissue in flower bud combined expression tps cyp a also suppresses volatile emission generates soluble sesquiterpene oxide florivory assay brassicaceae specialist plutella xylostella demonstrate insect larva avoid feeding bud expressing cyp a accumulating terpene oxide composition floral microbiome appears also modulated cyp a expression tps cyp a simultaneously evolved within brassicaceae form versatile functional gene cluster described higher plant far,low
4,Antisense Suppression of a (+)-d-Cadinene Synthase Gene in Cotton Prevents the Induction of This Defense Response Gene during Bacterial Blight Infection But Not Its Constitutive Expression  ,"In cotton (Gossypium hirsutum) the enzyme (+)-d-cadinene synthase (CDNS) catalyzes the first committed step in the biosynthesis of cadinane-type sesquiterpenes, such as gossypol, that provide constitutive and inducible protection against pests and diseases. A cotton cDNA clone encoding CDNS (cdn1-C4) was isolated from developing embryos and functionally characterized. Southern analysis showed that CDNS genes belong to a large multigene family, of which five genomic clones were studied, including three pseudogenes and one gene that may represent another subfamily of CDNS. CDNS expression was shown to be induced in cotton infected with either the bacterial blight or verticillium wilt pathogens. Constructs for the constitutive or seed-specific antisense suppression of cdn1-C4 were introduced into cotton by Agrobacterium-mediated transformation. Gossypol levels were not reduced in the seeds of transformants with either construct, nor was the induction of CDNS expression affected in stems of the constitutive antisense plants infected with Verticillium dahliae Kleb. However, the induction of CDNS mRNA and protein in response to bacterial blight infection of cotyledons was completely blocked in the constitutive antisense plants. These results suggest that cdn1-C4 may be involved specifically in the bacterial blight response and that the CDNS multigene family comprises a complex set of genes differing in their temporal and spatial regulation and responsible for different branches of the cotton sesquiterpene pathway.",in cotton gossypium hirsutum enzyme cadinene synthase cdns catalyzes first committed step biosynthesis cadinane type sesquiterpenes gossypol provide constitutive inducible protection pest disease a cotton cdna clone encoding cdns cdn c isolated developing embryo functionally characterized southern analysis showed cdns gene belong large multigene family five genomic clone studied including three pseudogenes one gene may represent another subfamily cdns cdns expression shown induced cotton infected either bacterial blight verticillium wilt pathogen constructs constitutive seed specific antisense suppression cdn c introduced cotton agrobacterium mediated transformation gossypol level reduced seed transformants either construct induction cdns expression affected stem constitutive antisense plant infected verticillium dahliae kleb however induction cdns mrna protein response bacterial blight infection cotyledon completely blocked constitutive antisense plant these result suggest cdn c may involved specifically bacterial blight response cdns multigene family comprises complex set gene differing temporal spatial regulation responsible different branch cotton sesquiterpene pathway,low
5,Aphid-repellent pheromone E-ß-farnesene is generated in transgenic Arabidopsis thaliana over-expressing farnesyl diphosphate synthase2,"Background and Aims Plant-synthesized sesquiterpenes play a pivotal role in chemotactic interactions with insects. Biosynthesis of functionally diverse sesquiterpenes is dependent on the availability of a pool of the precursor farnesyldiphosphate (FDP). In Arabidopsis thaliana, FPS2, encoding cytosolic farnesyldiphosphate synthase, is implicated in the synthesis of cytosolic FDP, but it is not known whether enhanced levels of FDP have a commensurate effect on sesquiterpene-mediated defence responses. This study examined transgenic arabidopsis plants generated to over-express FPS2 in order to determine if any effects could be observed in the response of aphids, Myzus persicae.",background aims plant synthesized sesquiterpenes play pivotal role chemotactic interaction insect biosynthesis functionally diverse sesquiterpenes dependent availability pool precursor farnesyldiphosphate fdp in arabidopsis thaliana fps encoding cytosolic farnesyldiphosphate synthase implicated synthesis cytosolic fdp known whether enhanced level fdp commensurate effect sesquiterpene mediated defence response this study examined transgenic arabidopsis plant generated express fps order determine effect could observed response aphid myzus persicae,medium
6,Biosynthesis and Emission of Terpenoid Volatiles from Arabidopsis Flowers ,"Arabidopsis is believed to be mostly self-pollinated, although several lines of genetic and morphological evidence indicate that insect-mediated outcrossing occurs with at least a low frequency in wild populations. Here, we show that Arabidopsis flowers emit both monoterpenes and sesquiterpenes, potential olfactory cues for pollinating insects. Of the 32 terpene synthase genes in the Arabidopsis genome, 20 were found to be expressed in flowers, 6 of these exclusively or almost exclusively so. Two terpene synthase genes expressed exclusively in the flowers and one terpene synthase gene expressed almost exclusively in the flowers were characterized and found to encode proteins that catalyze the formation of major floral volatiles. A ß-glucuronidase fusion construct with a promoter of one of these genes demonstrated that gene expression was restricted to the sepals, stigmas, anther filaments, and receptacles, reaching a peak when the stigma was receptive to cross pollen. The observation that Arabidopsis flowers synthesize and emit volatiles raises intriguing questions about the reproductive behavior of Arabidopsis in the wild and allows detailed investigations of floral volatile biosynthesis and its regulation to be performed with this model plant system.",arabidopsis believed mostly self pollinated although several line genetic morphological evidence indicate insect mediated outcrossing occurs least low frequency wild population here show arabidopsis flower emit monoterpenes sesquiterpenes potential olfactory cue pollinating insect of terpene synthase gene arabidopsis genome found expressed flower exclusively almost exclusively two terpene synthase gene expressed exclusively flower one terpene synthase gene expressed almost exclusively flower characterized found encode protein catalyze formation major floral volatile a glucuronidase fusion construct promoter one gene demonstrated gene expression restricted sepal stigma anther filament receptacle reaching peak stigma receptive cross pollen the observation arabidopsis flower synthesize emit volatile raise intriguing question reproductive behavior arabidopsis wild allows detailed investigation floral volatile biosynthesis regulation performed model plant system,low
7,Biosynthetic Pathway of Insect Juvenile Hormone III in Cell Suspension Cultures of the Sedge Cyperus iria  ,"In most insect species, juvenile hormones regulate critical physiological processes such as metamorphosis and reproduction. In insects, these sesquiterpenoids are synthesized by retrocerebral endocrine organs, the corpora allata, via the classical mevalonate (MVA) pathway. One of these compounds, juvenile hormone III (JH III), has also been identified in the sedge Cyperus iria. In higher plants, biosynthesis of the sesquiterpenoid backbone may proceed through two distinct pathways: the MVA pathway or the 2C-methyl erythritol 4-phosphate pathway or through a combination of both pathways. Cell suspension cultures of C. iria were used to elucidate the biosynthetic pathway of JH III in the plant. Enzyme inhibition and labeling studies conclusively demonstrated that the biosynthesis of the sesquiterpenoid backbone of JH III proceeds via the MVA pathway. Inhibitor and precursor feeding studies also suggest that later steps of JH III biosynthesis inC. iria are similar to the insect pathway and that the final enzymatic reaction in JH III biosynthesis is catalyzed by a cytochrome P450 monooxygenase.",in insect specie juvenile hormone regulate critical physiological process metamorphosis reproduction in insect sesquiterpenoids synthesized retrocerebral endocrine organ corpus allata via classical mevalonate mva pathway one compound juvenile hormone iii jh iii also identified sedge cyperus iria in higher plant biosynthesis sesquiterpenoid backbone may proceed two distinct pathway mva pathway c methyl erythritol phosphate pathway combination pathway cell suspension culture c iria used elucidate biosynthetic pathway jh iii plant enzyme inhibition labeling study conclusively demonstrated biosynthesis sesquiterpenoid backbone jh iii proceeds via mva pathway inhibitor precursor feeding study also suggest later step jh iii biosynthesis inc iria similar insect pathway final enzymatic reaction jh iii biosynthesis catalyzed cytochrome p monooxygenase,low
8,Bisphosphonate Inhibitors Reveal a Large Elasticity of Plastidic Isoprenoid Synthesis Pathway in Isoprene-Emitting Hybrid Aspen,"Recently, a feedback inhibition of the chloroplastic 1-deoxy-D-xylulose 5-phosphate (DXP)/2-C-methyl-D-erythritol 4-phosphate (MEP) pathway of isoprenoid synthesis by end products dimethylallyl diphosphate (DMADP) and isopentenyl diphosphate (IDP) was postulated, but the extent to which DMADP and IDP can build up is not known. We used bisphosphonate inhibitors, alendronate and zoledronate, that inhibit the consumption of DMADP and IDP by prenyltransferases to gain insight into the extent of end product accumulation and possible feedback inhibition in isoprene-emitting hybrid aspen (Populus tremula × Populus tremuloides). A kinetic method based on dark release of isoprene emission at the expense of substrate pools accumulated in light was used to estimate the in vivo pool sizes of DMADP and upstream metabolites. Feeding with fosmidomycin, an inhibitor of DXP reductoisomerase, alone or in combination with bisphosphonates was used to inhibit carbon input into DXP/MEP pathway or both input and output. We observed a major increase in pathway intermediates, 3- to 4-fold, upstream of DMADP in bisphosphonate-inhibited leaves, but the DMADP pool was enhanced much less, 1.3- to 1.5-fold. In combined fosmidomycin/bisphosphonate treatment, pathway intermediates accumulated, reflecting cytosolic flux of intermediates that can be important under strong metabolic pull in physiological conditions. The data suggested that metabolites accumulated upstream of DMADP consist of phosphorylated intermediates and IDP. Slow conversion of the huge pools of intermediates to DMADP was limited by reductive energy supply. These data indicate that the DXP/MEP pathway is extremely elastic, and the presence of a significant pool of phosphorylated intermediates provides an important valve for fine tuning the pathway flux.",recently feedback inhibition chloroplastic deoxy d xylulose phosphate dxp c methyl d erythritol phosphate mep pathway isoprenoid synthesis end product dimethylallyl diphosphate dmadp isopentenyl diphosphate idp postulated extent dmadp idp build known we used bisphosphonate inhibitor alendronate zoledronate inhibit consumption dmadp idp prenyltransferases gain insight extent end product accumulation possible feedback inhibition isoprene emitting hybrid aspen populus tremula populus tremuloides a kinetic method based dark release isoprene emission expense substrate pool accumulated light used estimate vivo pool size dmadp upstream metabolite feeding fosmidomycin inhibitor dxp reductoisomerase alone combination bisphosphonates used inhibit carbon input dxp mep pathway input output we observed major increase pathway intermediate fold upstream dmadp bisphosphonate inhibited leaf dmadp pool enhanced much le fold in combined fosmidomycin bisphosphonate treatment pathway intermediate accumulated reflecting cytosolic flux intermediate important strong metabolic pull physiological condition the data suggested metabolite accumulated upstream dmadp consist phosphorylated intermediate idp slow conversion huge pool intermediate dmadp limited reductive energy supply these data indicate dxp mep pathway extremely elastic presence significant pool phosphorylated intermediate provides important valve fine tuning pathway flux,low
9,Can forest trees compensate for stress-generated growth losses by induced production of volatile compounds?,"Plants produce a variety of volatile organic compounds (VOCs). Under abiotic and biotic stresses, the number and amount of produced compounds can increase. Due to their long life span and large size, trees can produce biogenic VOCs (BVOCs) in much higher amounts than many other plants. It has been suggested that at cellular and tree physiological levels, induced production of VOCs is aimed at improving plant resistance to damage by reactive oxygen species generated by multiple abiotic stresses. In the few reported cases when biosynthesis of plant volatiles is inhibited or enhanced, the observed response to stress can be attributed to plant volatiles. Reported increase, e.g., in photosynthesis has mostly ranged between 5 and 50%. A comprehensive model to explain similar induction of VOCs under multiple biotic stresses is not yet available. As a result of pathogen or herbivore attack on forest trees, the induced production of VOCs is localized to the damage site but systemic induction of emissions has also been detected. These volatiles can affect fungal pathogens and the arrival rate of herbivorous insects on damaged trees, but also act as signalling compounds to maintain the trophic cascades that may improve tree fitness by improved efficiency of herbivore natural enemies. On the forest scale, biotic induction of VOC synthesis and release leads to an amplified flow of BVOCs in atmospheric reactions, which in atmospheres rich in oxides of nitrogen (NOx) results in ozone formation, and in low NOx atmospheres results in oxidation of VOCs, removal in ozone from the troposphere and the resulting formation of biogenic secondary organic aerosol (SOA) particles. I will summarize recent advances in the understanding of stress-induced VOC emissions from trees, with special focus on Populus spp. Particular importance is given to the ecological and atmospheric feedback systems based on BVOCs and biogenic SOA formation.",plants produce variety volatile organic compound vocs under abiotic biotic stress number amount produced compound increase due long life span large size tree produce biogenic vocs bvocs much higher amount many plant it suggested cellular tree physiological level induced production vocs aimed improving plant resistance damage reactive oxygen specie generated multiple abiotic stress in reported case biosynthesis plant volatile inhibited enhanced observed response stress attributed plant volatile reported increase e g photosynthesis mostly ranged a comprehensive model explain similar induction vocs multiple biotic stress yet available as result pathogen herbivore attack forest tree induced production vocs localized damage site systemic induction emission also detected these volatile affect fungal pathogen arrival rate herbivorous insect damaged tree also act signalling compound maintain trophic cascade may improve tree fitness improved efficiency herbivore natural enemy on forest scale biotic induction voc synthesis release lead amplified flow bvocs atmospheric reaction atmosphere rich oxide nitrogen nox result ozone formation low nox atmosphere result oxidation vocs removal ozone troposphere resulting formation biogenic secondary organic aerosol soa particle i summarize recent advance understanding stress induced voc emission tree special focus populus spp particular importance given ecological atmospheric feedback system based bvocs biogenic soa formation,low
